skim_variable,skim_type,n_missing
Info_환자번호,character,0
Info_이름,character,0
Info_Exlusion_비고,character,218
Info_생년월일,character,0
Info_집도의,character,0
Info_진단명,character,0
Anti_regimen,character,0
IE_균주,character,0
IE_균주_date,character,40
IE_비고,character,100
Op_name,character,0
Mitral_recon_with,character,179
Mitral_MAP_with_,character,155
Mitral_MVP_with_,character,142
Mitral_MVR_with_,character,87
Aortic_Op_name,character,203
Tricuspid_Op_name,character,195
O_Survival_COD,character,197
Info_비고,character,204
S_TS,character,0
C_TS,character,0
Info_Inclusion_list,factor,0
Mitral_MS,factor,0
Mitral_MR,factor,0
Aortic_AS,factor,0
Aortic_AR,factor,0
Tricuspid_TS,factor,0
Tricuspid_TR,factor,0
Symptom_dyspnea,logical,0
Symptom_fever,logical,0
Symptom_chills,logical,0
Symptom_myalgia,logical,0
Symptom_fatigue,logical,0
Symptom_GW,logical,0
PMH_HTN,logical,0
PMH_DM,logical,0
PMH_CAD,logical,0
PMH_CVA,logical,0
PMH_CKD,logical,0
PMH_dialysis,logical,0
PMH_Smoking,logical,0
PMH_Malignancy,logical,0
PMH_Obesity,logical,2
IE_embolism,logical,0
PMH_prev.OHS,logical,0
Op_Ix_HF,logical,0
Op_Ix_uncontrolled_infection,logical,0
Op_Ix_Embolism_vegetation,logical,0
Mitral_prev_MV_Op,logical,0
Mitral_IE_lesion,logical,0
Mitral_leaflet_defect,logical,0
Mitral_annular_abscess,logical,0
Mitral_chordae_rupture,logical,0
Mitral_annular_recon,logical,0
Mitral_repair,logical,0
Mitral_vegetaion_removal_only,logical,215
Mitral_MAP,logical,0
Mitral_MVP,logical,0
Mitral_Leaflet_resection_or_slicing,logical,0
Mitral_plication,logical,0
Mitral_commissuroplasty,logical,0
Mitral_chordae/papillary_muscle_procedure,logical,0
Mitral_patch_repair,logical,0
Aortic_Prev_AV_Op,logical,0
Aortic_Concomittant_AV_Op,logical,0
Aortic_IE_lesion,logical,0
Tricuspid_Prev_TV_Op,logical,0
Tricuspid_Concomittant_TV_Op,logical,0
Tricuspid_IE_lesion,logical,0
Concomitant_other_procedure,logical,0
Concomitant_CABG,logical,0
Concomitant_maze,logical,0
Concomitant_aorta,logical,0
Info_Male,logical,0
IE_culture,logical,0
Mitral_Repair,logical,0
Mitral_gr_mod,logical,0
O_Composite,logical,0
Info_Case_No.,numeric,0
Info_Age,numeric,0
Info_나이(mon),numeric,0
Baseline_Ht,numeric,2
Baseline_Wt,numeric,2
Baseline_BMI,numeric,2
Mitral_vegetation_size,numeric,146
CPB_CPB_time,numeric,3
CPB_ACC_time,numeric,3
CPB_TCA_time,numeric,218
CPB_N_BT,numeric,2
CPB_R_BT,numeric,5
PostOp_HD,numeric,0
O_Survival_Death,numeric,0
O_Survival_IHM,numeric,0
O_Survival_EM,numeric,0
O_Survival_LM,numeric,0
O_Recurrence_Recur,numeric,0
O_Recurrence_ReOp,numeric,0
O_Valve_ReOp,numeric,0
Duration_Onset2Op,numeric,0
Duration_Anti2Op,numeric,0
S_fum,numeric,0
C_fum,numeric,0
Lab_BL2011,numeric,0
Lab_BL2013,numeric,0
Lab_BL2016,numeric,0
Lab_BL211103,numeric,3
Lab_BL3112,numeric,1
Lab_BL3114,numeric,1
Lab_BL3115,numeric,1
Lab_BL3116,numeric,1
Lab_BL3119,numeric,0
Lab_BL3120,numeric,0
Lab_BL3164,numeric,94
Lab_BL3982,numeric,53
Lab_BL201806,numeric,0
Lab_BL3140,numeric,1
Lab_BL5044,numeric,128
Info_수술일,POSIXct,0
Info_수술시작시간,POSIXct,0
Acute_Sx._onset,POSIXct,0
Anti_투여날짜,POSIXct,0
AB_Anti_종료,POSIXct,10
Info_입원일,POSIXct,0
PostOp_퇴원일,POSIXct,0
Outcomes_last_FU_date,POSIXct,0
O_Survival_Death_date,POSIXct,181
O_Recurrence_Recur_Dx._date,POSIXct,213
O_Recurrence_ReOp_date,POSIXct,214
O_Valve_ReOp_date,POSIXct,213
C_date,POSIXct,0
